osm_id,osm_type,name,category,amenity,lat,lon,postcode,street,cuisine,website
3813178074,node,Beer House,Pub,pub,51.5167823,-0.1764521,,,,https://thebeerhouseuk.com/locations/paddington/
3813311360,node,Bench,Coffee Shop,cafe,51.520853,-0.1030579,EC1M 5AD,Britton Street,,http://benchlondon.com
3813667445,node,The Old Street Chinese Restaurant,Restaurant,restaurant,51.525243,-0.0897703,,Old Street,chinese,
3813864109,node,Canterbury Arms,Pub,pub,51.4827551,-0.1027726,SE17 3NH,,,
3815512368,node,Zizzi,Restaurant,restaurant,51.5136522,-0.1226122,WC2E 7AW,Bow Street,italian,
3815512761,node,Barrafina Drury Lane,Restaurant,restaurant,51.5143632,-0.1218206,,,,https://www.barrafina.co.uk/
3815898016,node,Indian City,Restaurant,restaurant,51.513831,-0.1045571,EC4V 6AA,New Bridge Street,,
3815898017,node,Crown & Sugar Loaf,Pub,pub,51.5140324,-0.1050005,EC4Y 8DT,Bride Lane,,
3818700273,node,Pret A Manger,Fast Food,fast_food,51.4986634,-0.1358889,SW1H 0QU,Caxton Street,sandwich,
3822113518,node,Zebrano,Bar,bar,51.5143791,-0.0776815,EC3A 7LP,Dukes Place,,http://www.zebranobars.com
3822483362,node,Naughty Piglets,Restaurant,restaurant,51.4551175,-0.1131349,SW2 1PE,Brixton Water Lane,french,https://naughtypiglets.co.uk
3822812080,node,Kaffeine,Coffee Shop,cafe,51.5168792,-0.137156,W1T 3AY,Eastcastle Street,coffee_shop;australian,https://kaffeine.co.uk/
3823146235,node,Archie's Kitchen,Coffee Shop,cafe,51.4684073,-0.1902185,,,,
3827161416,node,Sontag,Coffee Shop,cafe,51.515425,-0.119303,,,coffee_shop,
3827161422,node,Oche,Bar,bar,51.5108166,-0.1201278,,,,https://oche.com/uk/london
3831795563,node,Wild Bean Cafe,Coffee Shop,cafe,51.5292489,-0.0560721,E2 9LH,Cambridge Heath Road,coffee_shop,
3834291060,node,Roots,Restaurant,restaurant,51.658197,-0.3925008,,Queen's Road,,
3834338257,node,The Glasshouse,Restaurant,restaurant,51.6777284,-0.4384858,,,buffet,
3835356831,node,Birley Salt Beef Bar,Fast Food,fast_food,51.5047923,-0.0193775,E14 5AX,Canada Square,sandwich,
3835356832,node,Birley Sandwiches,Fast Food,fast_food,51.5046497,-0.0185228,E14 5AX,Canada Square,sandwich,
3835356833,node,Birley Soup & Salads,Fast Food,fast_food,51.505113,-0.0211976,E14 4QT,Cabot Square,salad;soup,
3835356834,node,Birley,Fast Food,fast_food,51.5051654,-0.0213849,E14 4QT,Cabot Square,sandwich,
3835356836,node,Boisdale of Canary Wharf,Restaurant,restaurant,51.5052156,-0.0220439,E14 4QT,Cabot Square,,
3835356850,node,Greggs,Fast Food,fast_food,51.5049468,-0.0200103,E14 4QS,Cabot Square,sandwich;bakery,
3835357158,node,Pret A Manger,Fast Food,fast_food,51.504954,-0.0189925,E14 5AH,Canada Square,sandwich,https://www.pret.co.uk/en-GB/shop-finder/l/london/canada-place/10742
3835357164,node,Berginese,Fast Food,fast_food,51.5040578,-0.0198899,E14 5AJ,Reuters Plaza,,
3835357170,node,Ibérica Canary Wharf,Restaurant,restaurant,51.5056537,-0.0220095,E14 4QQ,Cabot Square,spanish,
3835357177,node,Rice Guys,Fast Food,fast_food,51.5041518,-0.0198553,E14 5AJ,Reuters Plaza,,
3835357178,node,Yummzy,Coffee Shop,cafe,51.5047673,-0.0225169,E14 4QW,Cabot Square,,
3835357179,node,Ca'puccino,Coffee Shop,cafe,51.5052916,-0.0213438,E14 4QT,Cabot Square,,
3835357180,node,LEON,Fast Food,fast_food,51.5051499,-0.0219923,E14 4QS,Cabot Square,burger;sandwich,
