business_id,birank_score,rank,friend_checkin_count,fof_checkin_count,social_unique_visitors,social_diversity_index,mean_bridge_confidence,social_boost,social_linked,best_gamma
1VHsBGgnioHuFYINzeplPA,0.00034568288616894816,115,,,,,,,False,0.0
geMqFv2nGXDQB5JPhRKqng,0.00034489050562735307,116,,,,,,,False,0.0
khmaw-iyVP_y32ZWUwuwiA,0.00034378531307369,117,,,,,,,False,0.0
7CwAjHjTPilN_zBuOSdMxg,0.000343677667203362,118,0.96,0.2057,1.0,0.6931,0.24,0.14332019031663878,True,0.0
s27GlS3WCN7b4dxTpainrg,0.00034321958901175763,119,,,,,,,False,0.0
03YfclexPdS_yrIbU6ahaA,0.0003425193694293997,120,,,,,,,False,0.0
lZ9YlsBJlq9jQDQZbQznAg,0.00034167256945200395,121,,,,,,,False,0.0
UdvFMoayRuRBuHoOXBBqBw,0.0003407760646216522,122,,,,,,,False,0.0
8CfXhST1sJt6IH99PPEZYQ,0.0003397673257161739,123,,,,,,,False,0.0
OV2gDDTGX7ObyK6X1zrD7w,0.00033886845689713236,124,,,,,,,False,0.0
kG7VAFl67L0syjVhjYj5ZA,0.0003388444037411129,125,,,,,,,False,0.0
6FNfW_9YaP5Fm7tE1caLyA,0.0003384726636957203,126,,,,,,,False,0.0
-YDYk83kO5ek-h4Fdu-Ugg,0.0003376857963746439,127,,,,,,,False,0.0
hR_j-38v2pOesza1j6akBA,0.00033565853150297316,128,,,,,,,False,0.0
ekBDNOCEzskY6VH5SBbGkg,0.0003350943750669739,129,,,,,,,False,0.0
QrsgwJ2YG73Ry3byIcABVw,0.0003350401313922456,130,,,,,,,False,0.0
ri5slg2kpEzD2LuGLRGSMA,0.00033462225726171684,131,,,,,,,False,0.0
yzz9gwayRptbwV7l5cHtRQ,0.0003340787904646847,132,0.3196,4.5712,1.0,0.6931,0.3196,0.05906400596962232,True,0.0
KwWmZOV6q6GTva8j6h05Nw,0.0003337627542391137,133,,,,,,,False,0.0
ZYJzr1diF0uwD4Wp7qkKxQ,0.000333687063451266,134,,,,,,,False,0.0
YgZwJJDb81jcPHLjJ1mYIA,0.0003327806473054256,135,,,,,,,False,0.0
uVXm-khx_kNEnhKLgn8jUg,0.0003325495487479517,136,,,,,,,False,0.0
z7A9nIWxFPOnbgz7drHZyA,0.0003313183468163802,137,,,,,,,False,0.0
ub8HSWJPsD_CqImzCehrZg,0.0003301311303339497,138,,,,,,,False,0.0
cy1qlowyE-zHmzfVyBFOJg,0.0003299231563353952,139,,,,,,,False,0.0
4w6Z5v0uVt08oSBaA3342A,0.0003296763933669168,140,,,,,,,False,0.0
